Product Url,Product Name,Brand,Product ID,Price,Rating,Number of Reviews,Parent Category,Sub Category,Sales Rank(in parent category),Sales Rank(in sub category),Release Date,Country of Origin,Purchased in Last Month
https://www.amazon.com/Amazon-Kindle/dp/B0CNV9F72P/ref=zg_bs_g_amazon-devices_d_sccl_18/135-4977875-3732765?psc=1,"Amazon Kindle 16 GB (newest model) - Lightest and most compact Kindle, now with faster page turns, and higher contrast ratio, for an enhanced reading experience - Black",Amazon Kindle,B0CNV9F72P,82.52,4.6,9250.0,,,,,,,
https://www.amazon.com/All-new-Ring-Battery-Doorbell-detection/dp/B09WZBPX7K/ref=zg_bs_g_amazon-devices_d_sccl_19/135-4977875-3732765?psc=1,"Ring Battery Doorbell Plus (newest model) | Head-to-Toe HD+ Video, motion detection & alerts, and Two-Way Talk",Ring,B09WZBPX7K,59.99,4.6,13176.0,,,,,,,
https://www.amazon.com/Blink-Outdoor-XR-newest-model/dp/B0DV4VQL6Y/ref=zg_bs_g_amazon-devices_d_sccl_20/135-4977875-3732765?psc=1,"Blink Outdoor 4 XR (newest model) – two-year battery wireless camera with 4x security coverage, 1000 ft open-air range or 400 ft with typical use — 4 camera system",Blink,B0DV4VQL6Y,119.99,4.3,1917.0,,,,,,,
https://www.amazon.com/All-new-Echo-Show-5/dp/B09B2SBHQK/ref=zg_bs_g_amazon-devices_d_sccl_21/135-4977875-3732765?psc=1,"Amazon Echo Show 5 (newest model), Smart display with 2x the bass and clearer sound, Charcoal",Amazon Echo & Alexa,B09B2SBHQK,48.39,4.4,54114.0,,,,,,,
https://www.amazon.com/Blink-Mini-White-2Cam/dp/B07X27VK3D/ref=zg_bs_g_amazon-devices_d_sccl_22/135-4977875-3732765?psc=1,"Blink Mini - Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 2 cameras (White)",Blink,B07X27VK3D,29.99,4.4,303808.0,,,,,,,
https://www.amazon.com/Amazon_Fire_HD_10/dp/B0BHZT5S12/ref=zg_bs_g_amazon-devices_d_sccl_23/135-4977875-3732765?psc=1,"Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black",Amazon Fire Tablets,B0BHZT5S12,59.49,4.5,32393.0,,,,,,,
https://www.amazon.com/INSIGNIA-Class-Smart-Remote-NS-50F502NA26/dp/B0F1DGM1TM/ref=zg_bs_g_amazon-devices_d_sccl_24/135-4977875-3732765?psc=1,"INSIGNIA 50"" Class F50 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F502NA26)",INSIGNIA,B0F1DGM1TM,169.99,4.2,2653.0,Amazon Devices & Accessories,Smart TVs,24.0,1.0,"March 13, 2025",,
https://www.amazon.com/Ring-Video-Doorbell-Pro-2/dp/B086Q54K53/ref=zg_bs_g_amazon-devices_d_sccl_25/135-4977875-3732765?psc=1,Ring Wired Doorbell Pro (newest model) – Best-in-class with cutting-edge features (existing doorbell wiring required),Ring,B086Q54K53,97.49,4.5,10189.0,,,,,,,
https://www.amazon.com/Ring-Solar-Panel-Generation-Spotlight/dp/B0B27JY45L/ref=zg_bs_g_amazon-devices_d_sccl_26/135-4977875-3732765?psc=1,"Ring Solar Panel (2nd Generation), 4W for Outdoor Cam Plus, Outdoor Cam (Stick Up Cam), Stick Up Cam Pro, Spotlight Cam Plus, Spotlight Cam Pro - White",Ring,B0B27JY45L,59.99,4.6,10852.0,,,,,,,
https://www.amazon.com/All-New-Echo-Show-8/dp/B0BLS3Y632/ref=zg_bs_g_amazon-devices_d_sccl_27/135-4977875-3732765?psc=1,"Amazon Echo Show 8 (newest model), With Spatial Audio, Smart Home Hub, and Alexa, Charcoal",Amazon Echo & Alexa,B0BLS3Y632,74.99,4.5,25452.0,,,,,,,
